# Thet  eta  binding
258.78 31.31 0.52
259.10 31.31 0.52
259.42 31.31 0.53
259.75 31.31 0.53
260.07 31.31 0.53
260.39 31.31 0.53
260.72 31.31 0.54
261.04 31.31 0.54
261.36 31.31 0.54
261.69 31.31 0.54
262.01 31.31 0.55
262.33 31.31 0.55
262.66 31.31 0.55
262.98 31.31 0.55
263.30 31.31 0.56
263.63 31.31 0.56
263.95 31.31 0.56
264.27 31.31 0.56
264.60 31.31 0.57
264.92 31.31 0.57
265.24 31.31 0.57
265.57 31.31 0.57
265.89 31.31 0.58
266.21 31.31 0.58
266.54 31.31 0.58
266.86 31.31 0.58
267.18 31.31 0.58
267.51 31.31 0.58
267.83 31.31 0.59
268.15 31.31 0.59
268.47 31.31 0.59
268.80 31.31 0.59
269.12 31.31 0.59
269.44 31.31 0.59
269.77 31.31 0.60
270.09 31.31 0.60
270.41 31.31 0.60
270.74 31.31 0.60
271.06 31.31 0.60
271.38 31.31 0.60
271.71 31.31 0.60
272.03 31.31 0.61
272.35 31.31 0.61
272.68 31.31 0.61
273.00 31.31 0.61
241.00 32.93 0.37
241.32 32.93 0.37
241.65 32.93 0.37
241.97 32.93 0.38
242.29 32.93 0.38
242.62 32.93 0.38
242.94 32.93 0.38
243.26 32.93 0.39
243.59 32.93 0.39
243.91 32.93 0.39
244.23 32.93 0.40
244.56 32.93 0.40
244.88 32.93 0.40
245.20 32.93 0.40
245.53 32.93 0.41
245.85 32.93 0.41
246.17 32.93 0.41
246.49 32.93 0.42
246.82 32.93 0.42
247.14 32.93 0.42
247.46 32.93 0.43
247.79 32.93 0.43
248.11 32.93 0.43
248.43 32.93 0.43
248.76 32.93 0.44
249.08 32.93 0.44
249.40 32.93 0.44
249.73 32.93 0.45
250.05 32.93 0.45
250.37 32.93 0.45
250.70 32.93 0.46
251.02 32.93 0.46
251.34 32.93 0.46
251.67 32.93 0.46
251.99 32.93 0.47
252.31 32.93 0.47
252.64 32.93 0.47
252.96 32.93 0.48
253.28 32.93 0.48
253.61 32.93 0.48
253.93 32.93 0.48
254.25 32.93 0.49
254.58 32.93 0.49
254.90 32.93 0.49
255.22 32.93 0.49
255.55 32.93 0.50
255.87 32.93 0.50
256.19 32.93 0.50
256.52 32.93 0.50
256.84 32.93 0.51
257.16 32.93 0.51
257.48 32.93 0.51
257.81 32.93 0.51
258.13 32.93 0.52
258.45 32.93 0.52
258.78 32.93 0.52
259.10 32.93 0.52
259.42 32.93 0.53
259.75 32.93 0.53
260.07 32.93 0.53
260.39 32.93 0.54
260.72 32.93 0.54
261.04 32.93 0.54
261.36 32.93 0.54
261.69 32.93 0.55
262.01 32.93 0.55
262.33 32.93 0.55
262.66 32.93 0.55
262.98 32.93 0.56
263.30 32.93 0.56
263.63 32.93 0.56
263.95 32.93 0.56
264.27 32.93 0.57
264.60 32.93 0.57
264.92 32.93 0.57
265.24 32.93 0.57
265.57 32.93 0.58
265.89 32.93 0.58
266.21 32.93 0.58
266.54 32.93 0.58
266.86 32.93 0.59
267.18 32.93 0.59
267.51 32.93 0.59
267.83 32.93 0.59
268.15 32.93 0.59
